Player,Country,Date of Birth,Player_ID
Americo Gallego,Argentina,1955-04-25,ARG-GALLAMER-19550425
Luis Galvan,Argentina,1948-02-24,ARG-GALVLUIS-19480224
Ruben Galvan,Argentina,1952-04-07,ARG-GALVRUBE-19520407
Franco Armani,Argentina,1986-10-16,ARG-ARMAFRAN-19861016
Jose Della Torre,Argentina,1906-03-23,ARG-TORRJOSE-19060323
Attilio Demaria,Argentina,1909-03-19,ARG-DEMAATTI-19090319
Alberto Chividini,Argentina,1907-02-23,ARG-CHIVALBE-19070223
Roberto Cherro,Argentina,1907-02-23,ARG-CHERROBE-19070223
Juan Botasso,Argentina,1908-10-23,ARG-BOTAJUAN-19081023
Giovani Lo Celso,Argentina,1996-04-09,ARG-CELSGIOV-19960409
Alberto Tarantini,Argentina,1955-12-03,ARG-TARAALBE-19551203
Maximiliano Meza,Argentina,1992-12-15,ARG-MEZAMAXI-19921215
Marcos Acuna,Argentina,1991-10-28,ARG-ACUNMARC-19911028
Daniel Killer,Argentina,1949-12-21,ARG-KILLDANI-19491221
Ever Banega,Argentina,1988-06-29,ARG-BANEEVER-19880629
Cristian Ansaldi,Argentina,1986-09-20,ARG-ANSACRIS-19860920
Marcelo Pagani,Argentina,1941-08-19,ARG-PAGAMARC-19410819
Claudio Caniggia,Argentina,1967-01-09,ARG-CANICLAU-19670109
Hector Facundo,Argentina,1937-11-02,ARG-FACUHECT-19371102
Lionel Messi,Argentina,1987-06-24,ARG-MESSLION-19870624
Javier Mascherano,Argentina,1984-06-08,ARG-MASCJAVI-19840608
Roberto Bonano,Argentina,1970-01-24,ARG-BONAROBE-19700124
Roberto Abbondanzieri,Argentina,1972-08-19,ARG-ABBOROBE-19720819
Esteban Cambiasso,Argentina,1980-08-18,ARG-CAMBESTE-19800818
Gabriel Heinze,Argentina,1978-04-19,ARG-HEINGABR-19780419
Javier Saviola,Argentina,1981-12-11,ARG-SAVIJAVI-19811211
Juan Roman Riquelme,Argentina,1978-06-24,ARG-RIQUJUAN-19780624
Maxi Rodriguez,Argentina,1981-01-02,ARG-RODRMAXI-19810102
Carlos Tevez,Argentina,1984-02-05,ARG-TEVECARL-19840205
Leo Franco,Argentina,1977-05-29,ARG-FRANLEO-19770529
Lionel Scaloni,Argentina,1978-05-16,ARG-SCALLION-19780516
Rodrigo Palacio,Argentina,1982-02-05,ARG-PALARODR-19820205
Gabriel Milito,Argentina,1980-09-07,ARG-MILIGABR-19800907
Leandro Cufre,Argentina,1978-05-09,ARG-CUFRLEAN-19780509
Julio Cruz,Argentina,1974-10-10,ARG-CRUZJULI-19741010
Sergio Berti,Argentina,1969-09-17,ARG-BERTSERG-19690917
Nicolas Burdisso,Argentina,1981-04-12,ARG-BURDNICO-19810412
Hernan Crespo,Argentina,1975-07-05,ARG-CRESHERN-19750705
Mario Chaldu,Argentina,1942-06-06,ARG-CHALMARI-19420606
Gustavo Lopez,Argentina,1973-04-13,ARG-LOPEGUST-19730413
Lucho Gonzalez,Argentina,1981-01-19,ARG-GONZLUCH-19810119
Oscar Ustari,Argentina,1986-07-03,ARG-USTAOSCA-19860703
Pablo Aimar,Argentina,1979-11-03,ARG-AIMAPABL-19791103
Claudio Husain,Argentina,1974-11-20,ARG-HUSACLAU-19741120
Diego Placente,Argentina,1977-04-24,ARG-PLACDIEG-19770424
Walter Samuel,Argentina,1978-03-23,ARG-SAMUWALT-19780323
Mauricio Pochettino,Argentina,1972-03-02,ARG-POCHMAUR-19720302
Juan Pablo Sorin,Argentina,1976-05-05,ARG-SORIJUAN-19760505
Ezequiel Lavezzi,Argentina,1985-05-03,ARG-LAVEEZEQ-19850503
Javier Zanetti,Argentina,1973-08-10,ARG-ZANEJAVI-19730810
Marcelo Delgado,Argentina,1973-03-24,ARG-DELGMARC-19730324
Marcelo Gallardo,Argentina,1976-01-18,ARG-GALLMARC-19760118
Jorge Solari,Argentina,1941-11-11,ARG-SOLAJORG-19411111
Pablo Cavallero,Argentina,1974-04-13,ARG-CAVAPABL-19740413
Angel Bossio,Argentina,1905-05-05,ARG-BOSSANGE-19050505
Leonardo Astrada,Argentina,1970-01-06,ARG-ASTRLEON-19700106
Francisco Perez,Argentina,,ARG-PEREFRAN-nan
Juan Sebastian Veron,Argentina,1975-03-09,ARG-VEROJUAN-19750309
Claudio Lopez,Argentina,1974-07-17,ARG-LOPECLAU-19740717
Matias Almeyda,Argentina,1973-12-21,ARG-ALMEMATI-19731221
Mauricio Pineda,Argentina,1975-07-13,ARG-PINEMAUR-19750713
Roberto Ayala,Argentina,1973-04-14,ARG-AYALROBE-19730414
Daniel Carnevali,Argentina,1946-12-04,ARG-CARNDANI-19461204
Enrique Chazarreta,Argentina,1947-07-29,ARG-CHAZENRI-19470729
Ruben Ayala,Argentina,1950-01-08,ARG-AYALRUBE-19500108
Carlos Babington,Argentina,1949-09-20,ARG-BABICARL-19490920
Agustin Balbuena,Argentina,1945-09-01,ARG-BALBAGUS-19450901
Angel Bargas,Argentina,1946-10-29,ARG-BARGANGE-19461029
Miguel Angel Brindisi,Argentina,1950-10-08,ARG-BRINMIGU-19501008
Jorge Carrascosa,Argentina,1948-08-15,ARG-CARRJORG-19480815
Kily Gonzalez,Argentina,1974-08-04,ARG-GONZKILY-19740804
Martin Pando,Argentina,1934-12-26,ARG-PANDMART-19341226
German Burgos,Argentina,1969-04-16,ARG-BURGGERM-19690416
Nelson Vivas,Argentina,1969-10-18,ARG-VIVANELS-19691018
Carlos Roa,Argentina,1969-08-15,ARG-ROACARL-19690815
Ruben Glaria,Argentina,1948-03-10,ARG-GLARRUBE-19480310
Ubaldo Fillol,Argentina,1950-07-21,ARG-FILLUBAL-19500721
Mario Kempes,Argentina,1954-07-15,ARG-KEMPMARI-19540715
Aldo Poy,Argentina,1945-09-14,ARG-POYALDO-19450914
Federico Wilde,Argentina,1909-01-01,ARG-WILDFEDE-19090101
Constantino Urbieta Sosa,Argentina,1907-08-12,ARG-SOSACONS-19070812
Francisco Rua,Argentina,1911-02-04,ARG-RUAFRAN-19110204
Juan Pedevilla,Argentina,1909-06-06,ARG-PEDEJUAN-19090606
Ramon Heredia,Argentina,1951-02-26,ARG-HERERAMO-19510226
Jose Nehin,Argentina,1905-10-13,ARG-NEHIJOSE-19051013
Anibal Tarabini,Argentina,1941-08-04,ARG-TARAANIB-19410804
Oscar Mas,Argentina,1946-10-29,ARG-MASOSCA-19461029
Ermindo Onega,Argentina,1940-04-30,ARG-ONEGERMI-19400430
Luis Artime,Argentina,1938-12-02,ARG-ARTILUIS-19381202
Juan Carlos Sarnari,Argentina,1942-01-22,ARG-SARNJUAN-19420122
Rene Houseman,Argentina,1953-07-19,ARG-HOUSRENE-19530719
Pablo Paz,Argentina,1973-01-27,ARG-PAZPABL-19730127
Rafael Albrecht,Argentina,1941-08-23,ARG-ALBRRAFA-19410823
Fabricio Coloccini,Argentina,1982-01-22,ARG-COLOFABR-19820122
Angel Labruna,Argentina,1918-09-28,ARG-LABRANGE-19180928
Carmelo Simeone,Argentina,1934-09-22,ARG-SIMECARM-19340922
Roberto Ferreiro,Argentina,1935-04-25,ARG-FERRROBE-19350425
Oscar Calics,Argentina,1939-11-18,ARG-CALIOSCA-19391118
Roberto Perfumo,Argentina,1942-10-03,ARG-PERFROBE-19421003
Hugo Gatti,Argentina,1944-08-19,ARG-GATTHUGO-19440819
Rolando Irusta,Argentina,1938-03-27,ARG-IRUSROLA-19380327
Alberto Gonzalez,Argentina,1941-08-21,ARG-GONZALBE-19410821
Alberto Mariotti,Argentina,1935-08-23,ARG-MARIALBE-19350823
Ramon Abeledo,Argentina,1937-04-29,ARG-ABELRAMO-19370429
Juan Carlos Oleniak,Argentina,1942-03-04,ARG-OLENJUAN-19420304
Ruben Sosa,Argentina,1936-11-14,ARG-SOSARUBE-19361114
Vladislao Cap,Argentina,1934-07-05,ARG-CAPVLAD-19340705
Rafael Albrecht,Argentina,1941-08-28,ARG-ALBRRAFA-19410828
Antonio Rattin,Argentina,1937-05-16,ARG-RATTANTO-19370516
Ruben Navarro,Argentina,1933-03-11,ARG-NAVARUBE-19330311
Jose Omar Pastoriza,Argentina,1942-05-23,ARG-PASTJOSE-19420523
Sergio Aguero,Argentina,1988-06-02,ARG-AGUESERG-19880602
Alfonso Lorenzo,Argentina,,ARG-LOREALFO-nan
Rogelio Dominguez,Argentina,1932-03-09,ARG-DOMIROGE-19320309
Raul Paez,Argentina,1937-05-26,ARG-PAEZRAUL-19370526
Federico Sacchi,Argentina,1936-08-09,ARG-SACCFEDE-19360809
Alberto Sainz,Argentina,1937-12-13,ARG-SAINALBE-19371213
Silvio Marzolini,Argentina,1940-10-04,ARG-MARZSILV-19401004
Jose Ramos Delgado,Argentina,1935-08-26,ARG-DELGJOSE-19350826
Antonio Roma,Argentina,1932-07-13,ARG-ROMAANTO-19320713
Diego Pozo,Argentina,1978-02-16,ARG-POZODIEG-19780216
Martin Demichelis,Argentina,1980-12-20,ARG-DEMIMART-19801220
Clemente Rodriguez,Argentina,1981-07-31,ARG-RODRCLEM-19810731
Mario Bolatti,Argentina,1985-02-17,ARG-BOLAMARI-19850217
Angel Di Maria,Argentina,1988-02-14,ARG-MARIANGE-19880214
Alfredo Rojas,Argentina,1937-02-20,ARG-ROJAALFR-19370220
Ariel Garce,Argentina,1979-07-14,ARG-GARCARIE-19790714
Nicolas Otamendi,Argentina,1988-02-12,ARG-OTAMNICO-19880212
Raul Belen,Argentina,1931-07-01,ARG-BELERAUL-19310701
Oscar Rossi,Argentina,1930-07-27,ARG-ROSSOSCA-19300727
Jonas Gutierrez,Argentina,1983-07-05,ARG-GUTIJONA-19830705
Gonzalo Higuain,Argentina,1987-12-10,ARG-HIGUGONZ-19871210
Pablo Zabaleta,Argentina,1985-01-16,ARG-ZABAPABL-19850116
Diego Milito,Argentina,1979-06-12,ARG-MILIDIEG-19790612
Norberto Boggio,Argentina,1931-08-11,ARG-BOGGNORB-19310811
Mariano Andujar,Argentina,1983-07-30,ARG-ANDUMARI-19830730
Sergio Romero,Argentina,1987-02-22,ARG-ROMESERG-19870222
Javier Pastore,Argentina,1989-06-20,ARG-PASTJAVI-19890620
Osvaldo Cruz,Argentina,1931-05-29,ARG-CRUZOSVA-19310529
Jose Sanfilippo,Argentina,1935-05-04,ARG-SANFJOSE-19350504
Eliseo Prado,Argentina,1929-09-17,ARG-PRADELIS-19290917
Ricardo Infante,Argentina,1924-06-21,ARG-INFARICA-19240621
Norberto Menendez,Argentina,1936-12-14,ARG-MENENORB-19361214
Eliseo Mourino,Argentina,1927-06-03,ARG-MOURELIS-19270603
David Acevedo,Argentina,1937-02-20,ARG-ACEVDAVI-19370220
Federico Edwards,Argentina,1931-01-25,ARG-EDWAFEDE-19310125
